Time(s)	Acc.(g)			
0	0.00E+00			
0.01	3.00E-38			
0.02	4.18E-37			
0.03	5.82E-36			
0.04	8.10E-35			
0.05	1.13E-33			
0.06	1.57E-32			
0.07	2.19E-31			
0.08	3.05E-30			
0.09	4.25E-29			
0.1	1.18E-27			
0.11	8.24E-27			
0.12	1.15E-25			
0.13	1.60E-24			
0.14	2.23E-23			
0.15	3.10E-22			
0.16	4.32E-21			
0.17	6.02E-20			
0.18	8.38E-19			
0.19	1.17E-17			
0.2	1.63E-16			
0.21	4.53E-15			
0.22	6.31E-14			
0.23	4.39E-13			
0.24	6.12E-12			
0.25	1.70E-10			
0.26	2.37E-09			
0.27	-1.88E-09			
0.28	-6.11E-05			
0.29	1.70E-09			
0.3	0.00E+00			
0.31	0.00E+00			
0.32	-6.11E-05			
0.33	0.00E+00			
0.34	6.11E-05			
0.35	0.00E+00			
0.36	-6.11E-05			
0.37	0.00E+00			
0.38	6.11E-05			
0.39	-1.25E-09			
0.4	-6.11E-05			
0.41	1.25E-09			
0.42	6.11E-05			
0.43	-1.25E-09			
0.44	-6.11E-05			
0.45	1.25E-09			
0.46	6.11E-05			
0.47	-1.25E-09			
0.48	-6.11E-05			
0.49	1.25E-09			
0.5	6.11E-05			
0.51	-1.25E-09			
0.52	-6.11E-05			
0.53	1.25E-09			
0.54	6.11E-05			
0.55	0.00E+00			
0.56	-6.11E-05			
0.57	0.00E+00			
0.58	6.11E-05			
0.59	0.00E+00			
0.6	-6.11E-05			
0.61	0.00E+00			
0.62	6.11E-05			
0.63	-1.25E-09			
0.64	-6.11E-05			
0.65	1.25E-09			
0.66	6.11E-05			
0.67	-1.24E-09			
0.68	-6.11E-05			
0.69	3.58E-09			
0.7	6.11E-05			
0.71	-3.58E-09			
0.72	-6.11E-05			
0.73	1.27E-09			
0.74	6.11E-05			
0.75	-6.11E-05			
0.76	-6.11E-05			
0.77	1.22E-04			
0.78	6.11E-05			
0.79	-2.44E-04			
0.8	-6.11E-05			
0.81	3.05E-04			
0.82	-1.28E-03			
0.83	-6.11E-03			
0.84	-1.11E-02			
0.85	-1.23E-02			
0.86	-1.01E-02			
0.87	-8.55E-03			
0.88	-9.04E-03			
0.89	-9.71E-03			
0.9	-9.53E-03			
0.91	-1.01E-02			
0.92	-1.23E-02			
0.93	-1.42E-02			
0.94	-1.44E-02			
0.95	-1.36E-02			
0.96	-1.31E-02			
0.97	-1.25E-02			
0.98	-1.11E-02			
0.99	-9.59E-03			
1	-8.73E-03			
1.01	-8.37E-03			
1.02	-8.55E-03			
1.03	-1.03E-02			
1.04	-1.34E-02			
1.05	-1.62E-02			
1.06	-1.78E-02			
1.07	-1.91E-02			
